2019-09-23 10:19:13 configure debconf:all 1.5.66 1.5.66
2019-09-23 10:19:13 status unpacked debconf:all 1.5.66
2019-09-23 10:19:13 status unpacked debconf:all 1.5.66
2019-09-23 10:19:13 status unpacked debconf:all 1.5.66
2019-09-23 10:19:13 status half-configured debconf:all 1.5.66
2019-09-23 10:19:14 status installed debconf:all 1.5.66
2019-09-23 10:19:14 startup archives unpack
2019-09-23 10:19:15 upgrade base-files:armhf 10.1ubuntu2 10.1ubuntu2
2019-09-23 10:19:15 status half-configured base-files:armhf 10.1ubuntu2
2019-09-23 10:19:15 status unpacked base-files:armhf 10.1ubuntu2
2019-09-23 10:19:15 status half-installed base-files:armhf 10.1ubuntu2
2019-09-23 10:19:15 status half-installed base-files:armhf 10.1ubuntu2
2019-09-23 10:19:15 status unpacked base-files:armhf 10.1ubuntu2
2019-09-23 10:19:15 status unpacked base-files:armhf 10.1ubuntu2
2019-09-23 10:19:15 upgrade base-passwd:armhf 3.5.44 3.5.44
2019-09-23 10:19:15 status half-configured base-passwd:armhf 3.5.44
2019-09-23 10:19:15 status unpacked base-passwd:armhf 3.5.44
2019-09-23 10:19:15 status half-installed base-passwd:armhf 3.5.44
2019-09-23 10:19:15 status half-installed base-passwd:armhf 3.5.44
2019-09-23 10:19:15 status unpacked base-passwd:armhf 3.5.44
2019-09-23 10:19:15 status unpacked base-passwd:armhf 3.5.44
2019-09-23 10:19:16 install bash:armhf <none> 4.4.18-2ubuntu1
2019-09-23 10:19:16 status half-installed bash:armhf 4.4.18-2ubuntu1
2019-09-23 10:19:16 status unpacked bash:armhf 4.4.18-2ubuntu1
2019-09-23 10:19:16 status unpacked bash:armhf 4.4.18-2ubuntu1
2019-09-23 10:19:16 install bsdutils:armhf <none> 1:2.31.1-0.4ubuntu3
2019-09-23 10:19:16 status half-installed bsdutils:armhf 1:2.31.1-0.4ubuntu3
2019-09-23 10:19:16 status unpacked bsdutils:armhf 1:2.31.1-0.4ubuntu3
2019-09-23 10:19:16 status unpacked bsdutils:armhf 1:2.31.1-0.4ubuntu3
